message,label
Em muốn lập thêm một thớt chuyên nói về phát triển sơ đồ cỗ máy thời gian ở Chuyện Trò Linh Tinh liệu có được không,-1
vi phạm điều 21 mục 1,-1
thớt nhảm,-1
quảng cáo web cá độ trá hình,-1
Chửi tục chửi thề phản cảm,-1
chửi bới loạn xạ từ page 23 đến 24,-1
Sai box,-1
"PBCT, ngôn từ",-1
Lăng mạ người khác,-1
Đào mộ thread 2022,1
Chửi mồ mả người khác ác quá,-1
"Hay spam bài nhảm, ko có giá trị tham khảo",-1
Nôi dung nhảm,-1
"Lưu ý về vấn đề post bài sai box: Hiện tại, diễn đàn voz",0
vn đã có gần như là đầy đủ các box về các chủ đề công nghệ giống như bên diễn đàn voz cũ,0
"Các bạn lưu ý giúp, box là khu vực để thảo luận về các vấn đề linh tinh trong cuộc sống hằng ngày trong khuôn khổ nội quy của diễn đàn (nội quy như bên voz cũ)",1
"Chứ không phải là nơi để nhờ tư vấn về các vấn đề liên quan đến công nghệ đã có box riêng, ví dụ như việc tư vấn hỏi nên mua điện thoại nào, laptop nào, xe nào, lắp điều hòa gì hay là tư vấn cấu hình máy tính... Các hỏi đáp thắc mắc và nhờ tư vấn về công nghệ, vui lòng post bài trong các box tương ứng",1
"Quảng cáo, tìm nguồn hàng, hợp tác làm ăn... cũng không được post ở đây",-1
"Các thread nói trên lập tại f17 sẽ bị xóa thẳng tay chứ không move qua box tương ứng, vì mod không có rảnh, và tùy mod mà có để lại reason hay không",-1
Thành viên cố tình post bài sai box nhiều lần sẽ bị xử lý tùy theo mức độ,-1
"Ngoài ra, hiện nay diễn đàn đang có lượng thành viên tương tác rất lớn và thêm nhiều thành viên mới sau các đợt mở đăng ký",1
"Có rất nhiều thành viên cố tình spam thread vô tội vạ với nội dung nhảm nhí, không có giá trị, vi phạm nội quy diễn đàn",-1
F17 về tiêu chí vẫn cần chất hơn là lượng,0
Các min/mod đang chú ý theo dõi và sẽ xóa triệt để với những thread như thế này,-1
Các thành viên cố ý spam thread nhảm nhiều lần sẽ bị ban nick vĩnh viễn và không ân xá,-1
Các bạn vui lòng sinh hoạt một cách tích cực và tuân thủ đúng nội quy đã thông báo ở #1,1
"Lưu ý: Không lập thread có tiêu đề là: ""Xin mod/nhờ mod""",-1
Thread sai box/nội dung không phù hợp sẽ bị xóa kể cả các bạn có ghi như thế đi nữa,-1
Đây là quy định đã có từ trước đến nay và sẽ không thay đổi trong tương lai,1
Cảm ơn các bạn đã đọc thông báo!,1
"Mấy nay ở công ty hết dự án nên rảnh rỗi ngồi chơi, thế méo nào sinh hư, thằng đồng nghiệp rủ đánh kèo đá banh.. lúc đầu ăn thì không muốn dừng lại.. giờ thua mẹ gần hết tháng lương.. một bài học cho bản thân, đúng là trong lúc thua không kiềm chế được bản thân.. lúc đầu 50k-100k-200k-500k-1trieu rồi đánh lên 5 triệu- 10 triệu",-1
"Công nhận máu liều nó dồn lên não, dứt ra không được",-1
Note: Đã xóa tài khoản và không dám rờ tới nữa,-1
Chơi éo gì tiền triệu kinh vậy Tôi chơi bịpplott tiền trăm đã xót vkl ra rồi,-1
ai chơi cũng vậy mà fen,0
Khó ai mà kiềm lực nổi lắm,0
"lúc đầu mình cũng nghĩ vậy, mà giờ cuồng quay thì ko kiềm lại được",1
! máu liều nó dâng lên tận não,0
! thua xong mới hoảng hồn,-1
"Lúc mất thì nói hay lắm, sau đó đâu lại hoàn đấy thôi",0
Máu con bạc sao hết dễ dc,0
1 tháng lương dừng lại là đẹp rồi,1
Mình đang âm 15 tháng đây,-1
Ko biết bao giờ hết nợ,0
May cũng cai được 5 6 tháng rồi,0
"Mình chỉ chơi mỗi tết với người thân đồng nghiệp, xác định chơi là mất nên thoải mái",1
"Cứ xác định trước năm này mất ở tụ này bao nhiêu, tới đó móc đúng nhiêu đó ra thua hết thì đứng xem, lãi thì đi lì xì phần lãi",-1
hqua theo Ơn lạnh hả fen,-1
người không chơi là người không thắng người dừng lại là người thua còn thở còn gỡ,-1
"dính vào nó mới thấy nó cuốn.. cảm giác thình thịch thình thịch.. chờ đợi, cảm xúc.. Sáng ăn mấy triệu cười toe mồm, chiều all in lại mất trắng",1
"15 tháng nếu giữ mức sống như cũ thì chắc phải 4-5 năm, hoặc nếu sống cực khổ thì cũng phải 2 năm",-1
"Nhiều lúc nghĩ, nếu k âm thì phần tiền dư thích gì tiêu nấy bác nhỉ",0
"mới mất 1 tháng thì chưa bỏ được đâu fen, nào báo nhà bán nhà bán đất chặt tay kìa",-1
đêm qua làm xiên 4 trận UEFA Over thì 5tr ăn 80tr rồi,-1
chuẩn cmnl.. lúc này nghĩ ALL IN 1 cái chốt lãi rồi nghỉ.. thua mẹ nó 1 tháng mới giật mình,-1
tôi bị nghiện future,1
bay hết mấy chục củ cả tháng nay,-1
cảm giác làm j cũng đen,-1
Uhm giờ kệ,0
Vẫn sống như cũ,-1
Yolo happy,1
Chứ giờ khổ sở vài năm thì cũng hết đời rồi,-1
"Giờ chỉ cần ko tiêu hoang, ko sắm sửa, và kiên quyết ko quay lại",-1
Mình cũng future đó mà x10 của bạn,1
Dừng là tốt nhất,-1
buông thôi bác ạ,0
càng nạp càng chết,-1
mà cái kiểu chơi futu nó khiến mình k tập trung được việc j,0
thấp thỏm lo âu,-1
canh chart từng tí,0
hành hạ tâm lý quá,-1
"15 năm trước, mới vào lớp 10 dồn hết tiền mừng tuổi đánh bạch thủ 50 điểm lô ăn cmn 2 nháy",0
"Ở tuổi đó cầm 8 củ trên tay cảm giác nó kinh khủng vl May ở cái tuổi đó éo vay mượn được ai, thua thì cook thôi nên dứt ra được, không thì khổ vl",-1
đang tính làm phát 100 củ trả 60 tháng gỡ gạc đây fence,-1
công nhận cờ bạc nó tạo cảm giác feeling vler.. gây nghiện,1
Đúng rồi thắng thì vui chứ đu cái là đứng ngồi ko yên,0
Xem chart từng phút,0
Mất ăn mất ngủ,-1
Làm gì cũng ko vui,-1
Đúng kiểu nghiện,1
Giờ bỏ hẳn mình thất vui hơn hẳn,1
Mấy tháng rồi ko xem chart rồi,-1
"futu để nghiện thì hết cứu, quan trọng phải thắng dc tâm lý, giờ tôi mỗi ngày ăn 10-20u thôi k tham",1
sáng nay ông anh làm cùng cũng ** anh lợn liên tục,0
Trận cuối fen gãy là trận nào? Banh hôm qua giờ nổ tài linh đình mà,-1
Úc bịp hôm qua cũng 3-1,-1
"Tháng lương mua bài học, còn cứu được, cố lên nhé fen",1
"Thua ở đâu gấp đôi chỗ đó, cố lên fen",-1
"Cũng tầm đó, nhà cấp cho con dream kỉ niệm chưa đi đủ 1 vạn, chê ỏng eo, muốn ăn để lắp novou lx chạy Cuối cùng kéo 1 seri đòn xe máy các loại, có lúc cũng cầm vài chục, mà vẫn ko chạm tay vô dc cái nouvo lx Nhưng cảm giác soi kq vẫn sướng, đủ mọi cung bậc cảm xúc trong 15p đồng hồ Có hôm gần đứt tay rồi, bạch thủ lô 41 500 điểm, mấy con đầu còn alt tab vừa chơi c4 đột kích vừa soi, bọn bạn ở sau thì sốt ruột chửi, đến mấy giải sau ko ra mới tắt đột kích ngồi nhìn... Xong còn mỗi độc đắc, tuyệt mịe vọng mình giỡn copy số 41 rồi spam ctrl v chỗ giải đặc biệt nó xồ, tự dưng nó hiện 41 đỏ chót cả lũ ôm nhau nhảy như đc mùa Đúng những cảm giác chết đuối vơ đc cọc",-1
"dừng lại là thua rồi fen, ván sau thắng mà fen lại bỏ",-1
"Thường dân bạc hay chết khúc đanh rảnh rỗi vô làm tí cho vui ), mà 1 ngày thì nhiều lần làm tí như vậy",-1
Nhất bát bát ah mai phen,1
vừa mới tức thì,-1
trận lúc 13h ngày 11/10 bóng đã nữ newzealand.. bắt kèo dưới +1.. mới có 30p nó vã 3-0,-1
")) rồi xem hết trận, nát bét.. xóa app",-1
xóa tài khoản.. lên đây nghe mn tâm sự,1
"đậu xanh tài hồi mọi, hôm qua thổi sớm là bú kèo 1x2 Indog 14",0
và kèo vị 18,0
rồi,1
Hmmm 2 tháng trước bay 150 củ,-1
"May có người cứu, không thì cũng không biết sống sao tới bây giờ",0
"Khung 13h (hay có Ấn, Úc, New) nhất là những trận tài xỉu 4 thì đánh over thôi fen, mấy trận cỏ này bắt kèo chi",1
"1 tháng lương cũng còn nhẹ, chúc fen bỏ đc",0
Mấy lần mình nghỉ chơi được vài tháng,0
"Rồi buồn buồn nạp 100 200u chơi lại, bảo mỗi ngày kiếm 10u 20u cafe thôi",-1
Thế éo nào phát cuối nạp 5k,-1
Mà cũng ngu cơ chơi lúc đầu thắng lắm tk lên gần 20k rồi,-1
"Mà ko biết rút ra trả nợ, lại đánh càng to mong kiếm thêm",-1
Rồi lúc âm mấy trăm thì éo cut,-1
Tham gồng cuối cùng cháy phát 14k,1
"Tôi đồng hành cùng thằng bạn bet thủ từ đợt euro đến giờ, theo dõi từng đợt ăn thua và cảm xúc lên xuống của nó hài vl",1
Đợt euro nó đi tầm 4 5 củ,0
Sau hết euro cay cú lại vào tiếp các kèo bet cỏ + lô đề,-1
"Có 1 đợt nó ăn lên đc tầm 4 củ, đưa tôi giữ hộ bảo nhất quyết éo đc trả lại t, vì cầm tiền là sẽ bet",-1
"Nhưng mà dm cái khó nó đẻ cái khôn, nó dùng thủ đoạn để vợ nó bắn tiền cho nó lúc mua cái này lúc mua cái kia, nhưng mà ko mua mà đâm vào bet, sau thua lòi trĩ ra nó lại bảo tôi bắn back lại tiền cho nó ko thì bung bét hết",-1
Đến đoạn này chả nhẽ lại ko bắn tiền cứu bạn,-1
Cứ thế vài bận hết mẹ 4 củ,0
Giờ nghiện lòi rồi éo bỏ được,-1
Đấy nãy lại vừa nhắn tin hỏi kết con gì,0
Dm cái món này nó mà đã nghiện thì còn hơn ma tóe,1
Lúc tỉnh thì quyết tâm bỏ lắm nhưng mà trong cơn rồi thì đầu óc điên loạn vl,-1
Tôi đây vừa đêm qua bay 20 trong vòng 3 tiếng buổi đêm,-1
"Suy quá, vay nợ để đánh giờ đang không biết trả kiểu gì",-1
"cứ mỗi lần buồn buồn là nạp vài triệu vào đánh.. đánh thắng thì lòng tham nổi lên, đánh lớn để cứu lại mấy lần thua trước.. sau thua hết mẹ nó",-1
"thớt ntn nhiều lắm, ae ko cô đơn đâu ở voz nói riêng và xã hội thì chắc 90% đàn ông đỏ đen ở mức độ nào đó",0
Cờ bạc chả ai giàu được,0
"Chơi mà giữ được đầu lạnh thì không sao, vui vẻ ok",1
Nhưng mà mấy con bạc có mấy ai mà làm thế được,0
"Toàn thua bé rồi cứ x2, có ngày đi hết sạch",-1
Tôi hứa bản thân trên dưới chục lần sẽ bỏ cờ bạc mà vẫn không làm được,-1
"Khổ vcl, đi làm chỉ để trả nợ",-1
Ăn tiêu thì tiết kiệm,0
"lúa đầu chỉ nghỉ ngày đánh dăm ba chục cho vui.. mà thua bé thì x2 x3 x10.. rồi lại xách dái trả nợ,",-1
"Cái cảm giác hồi hộp, lo lắng chờ đợi... cái cảm giác lúc thắng nó còn ko sướng bằng cái cảm giác gỡ lại được gần hết số tiền bị âm đây cũng là 1 dạng dopamine đó thím Dừng lại được đúng lúc là tốt rồi",1
"Thằng bạn mình đang chơi baccarat theo chiến thuật gấp thếp 1 1 3 x xx, bữa giờ ngày nào cũng khoe ăn 1-2 củ ) ko biết khi nào rụng",1
"Site này ăn nhiều, nó bắt ch/m thu nhập này nọ các kiểu...may cho đăng xuất account,thấy nhiều a bảo bỏ này nọ,ting ting lại vào",-1
"Đúng rồi đấy, dính vào nó là khổ cả đời",-1
Mình thì sống xa ba mẹ từ 10 tháng,0
"Dì mình đón mình về nuôi khi ba mẹ có thêm đứa em, mình gọi dì là Má, và sống với Má từ đó đến giờ",1
"Má mình vừa là ba vừa là mẹ, từng đánh mình những trận đòn mình vẫn nhớ tới bgiờ, thậm chí bgiờ khi đã hơn 30, đôi khi mình sai hay Má ko vừa ý với việc mình làm Má vẫn tát như cũ",-1
"Mình biết là Má mình thương mình quá nên khi mình ko nghe lời hoặc làm Má thất vọng thì Má mình sẽ trút ra... con người, đâu ai hoàn hảo",0
"Về Ba mẹ ruột mình thì vẫn lên thăm mình đều, Ba mình ko rượu chè, cờ bạc, cả đời đi làm chỉ để lo cho gia đình, Mẹ mình ở nhà buôn bán, quán xuyến trên dưới",0
"Ba mẹ hầu như ko có cãi vã gì lớn, toàn là Mẹ mình la Ba mình thôi",0
"Lần mình cảm nhận sâu sắc Ba mình đã già và yếu là Ba nt kêu gửi cho Ba tiền để Ba mua đồ gì đó, mình tự cảm thấy mình đã quá vô tâm và cứ đinh ninh Ba mẹ vẫn ổn",-1
"Con mình nay mới 1t, cũng khá lì và láo như mình năm xưa, mình chưa bgiờ lớn tiếng hay quánh con 1 cái nào, mình đang cố hết sức để con có thể trải qua tuổi thơ thật tươi đẹp nhất",-1
"Ngày nhỏ ko ít lần bắc ghế len lên nóc tủ chạn tìm gói thuốc chuột mẹ giấu trên đó muốn uống, nhưng nói chung là hèn, cuối cùng ko dám",-1
"Có lần bị bế lên suýt bị ném xuống giếng vì chạy qua hàng xóm chơi đến trưa chưa về, may có hàng xóm ngăn lại",0
Đó là lần đầu tiên và cũng là lần cuối cùng đi chơi,-1
"Từ đó về sau chả bao giờ đi đâu, bạn bè cùng lớp cùng xóm cũng ko biết nhà",0
"Sau này lớn lên, ước ao lớn nhất chính là rời xa gia đình, đi thật xa, sống 1 mình đến khi chết cũng ko cần trở về",-1
"Nhưng mà còn mẹ, còn bà ngoại, nên vẫn phải liên lạc và phải về",0
"Giờ bà đã mất rồi, còn mẹ là sợi dây duy nhất trói buộc mà thôi",-1
Có thể nói thế hệ cũ tầm 199x trở lại thì sẽ có số lượng người gia trưởng nhiều hơn thế hệ về sau này,0
Bởi vì chúng ta trải qua giáo dục theo kiểu phong kiến,-1
"Hic Giống anh trai tôi, từng bị bố t làm như thế Tôi thấy chả có ý nghĩa giáo dục gì cả mà chỉ là 1 cách hạ nhục và xả cơn tức giận của bố t Anh trai tôi vốn cá tính từ nhỏ, cứ mỗi trận đánh lại càng lì lợm hơn :/",-1
"Nể các bà mẹ ngày xưa, sao nhẫn nhịn giỏi thật tôi mà bị chồng đánh chắc tôi dành hết tiền thuê giang hồ về đập cho nhừ tử, tát tôi 1 phát chắc tôi phải tự tay tát lại thằng đánh tôi 2 phát cho cân mõm",-1
"Hôm nhà tôi sang bàn xin cưới vs nhà vợ, ngài nhạc phụ bảo tôi ""nó là láo mày cứ đánh tao chả bênh đâu"" ) Nghe chán luôn )",-1
"Ông già tôi mê rượu hơn mê làm, mỗi lần nhậu say về là đánh vợ, nên mỗi lần ổng đi nhậu về là mẹ tôi phải dắt anh em tôi đi trốn để khỏi bị đánh",-1
"Hôm đó ổng nhậu về buổi trưa, mẹ đưa em đi trốn, tôi 7 tuổi ở nhà bị ổng chửi phạt quỳ úp mặt vô tường, vì sao phạt giờ tôi cũng ko nhớ, còn ổng ra sau nhà nằm ngủ",-1
Quỳ một lát ko nghe tiếng động gì ở sau nên tôi đứng dậy bỏ đi chơi,0
Ông già nằm 1 mình ko biết nghĩ quẩn sao treo cổ 44,0
Bao năm qua mỗi lần nhớ lại tôi vẫn day dứt giá như mình vẫn quỳ ko bỏ đi thì biết đâu sẽ phát hiện sớm,1
"Nhưng với tính của ổng mê nhậu bạn bè ko lo làm tôi cũng ko biết ông mất sớm là tốt hay xấu, có khi sống tiếp lại báo làm khổ vợ con hơn",-1
"Ở thế hệ trước thì có 1 bộ phận ko nhỏ xem việc bạo hành nó như là việc bình thường như cân đường hợp sữa thôi fen! Vì đơn giản để làm cha mẹ thì rất dễ, nứng tình lên phọt phọt vài phát là tầm 1 năm sau đã được lên chức rồi",-1
"Nhưng khổ nỗi chả có cái lớp học nào được gọi là ""Nghệ thuật làm cha mẹ"" cả và nếu có thì cũng chả mấy ai thèm để tâm vì còn bận cơm áo gạo tiền",0
Nên phần lớn sẽ làm theo bản năng theo kiểu đời trước ntn thì đời mình sẽ ntn ấy,1
"Số người có tư duy mở, đi trước thời đại trong việc nuôi dạy con cái là rất hiếm ở thời kì này",0
"Anh em 8x,9x sau này được tiếp cận với nền văn hóa hội nhập nhiều hơn",0
"Nên từ đó tư tưởng cũng có phần phóng khoáng, ít gia trưởng và hủ nho hơn thời trước trong việc nuôi dạy con cái",0
Chia buồn với thím,0
Chắc ông già thím khi tỉnh rượu thì cũng ân hận dẫn đến quyên sinh,-1
Nếu có tỉnh vậy thật thì cũng là 1 cái tự trọng cao quý trong ông già thím,0
"Có thể là ông bị bệnh tâm lý nặng, nên không làm được gì, thông tin và kiến thức về bệnh tâm lý thời đó cũng hạn chế nên ông cũng chỉ biết dùng rượu để sống từng ngày...",0
"Chắc ko phải đâu thím, lúc ko nhậu thì vẫn làm việc chơi với mình rất vui vẻ, ông đẹp trai với may áo quần đẹp lắm, có tay nghề, nhiều người tới xin học nghề mà",1
Nhưng bản tính thích nhậu nhẹt giao du bạn bè,0
"Đợt đó mới sinh bé thứ 3 xong, vợ con đau ốm ko có tiền phải đi vay họ hàng rồi bị họ đòi nợ",-1
Có thể ông trầm cảm rồi phút giây đó có men trong người ko làm chủ dc nghĩ quẩn nên rs để tự giải thoát luôn,0
"Lúc tôi thét con, tôi thấy tiếng của tôi giống tiếng của bố tôi dã man",1
"Từ đó tôi hạn chế thét con, cố kiềm chế cơn giận, mua sách làm bố về đọc",0
"t cũng có ông bố hèn với ích kỷ vc ra, lúc nào cũng bắt vợ phục vụ mình với gia đình chồng, vợ mà đi nuôi bệnh hay giỗ quãi gì là kiếm chuyện, đập đồ",-1
"Vợ phục vụ từ a-z, bệnh hoạn là kêu vợ nhưng chuyên đi nói xấu vợ sau lưng",-1
"Đối với người ngoài thì sợ như cọp, về nhà chỉ chửi bới vợ con là giỏi mà mẹ tôi cũng chịu đựng giỏi vl, giờ gần như tôi từ cm nhà nội ra luôn, ông già hỏi thì nói ko thì nocare, chửi tôi tôi cũng nocare luôn t cũng đéo hiểu sao đàn ông mà hèn, ích kỷ đến mức đó",-1
"Xin lỗi thím, thìm cần phải trải đời thêm tiếp xúc thêm đủ loại gái từ trẻ đến già thì thím sẽ hiểu riêng phụ nữ bản chất cái vụ kia thế sẽ không giờ thay đổi được nha",-1
"đầu thai thì may ra đổi được, không thì mãi vậy",-1
Thím nên nhớ câu: giang sơn dễ đổi,0
", bản tính khó dời",0
"anh cứ đi với Mai còn tôi đi với UM, quá là đẹp",1
Đang gay cấn quá hay là mình phọt ra trước cái đi fence,0
ây dà chưa có chữ nào,-1
Thật xứng đáng bị ăn gạch,-1
Gạch nhiều lên mới có truyện được,0
góp 1 gạch )),0
"quá nhiều gạch đá, xong 1 nửa rồi các chiến hữu",-1
Ở đây chúng tôi chỉ có hay không thôi chớ ko có nửa hay không,0
Chứ forum cũ tầm 12k5 người vào là đơ cmn,-1
nghe đâu gấp 3 lần cái cũ...,-1
Test phát,0
Mà có bác nào vào bằng vozfapp không,0
"Như tít ạ, vào link của post này thì báo không thể vào dc, vậy thím nào còn cho em xin tí link với ạ :sexy:",1
Đây là cái link post ạ:,1
Quote thế nào toàn ấn vào nút report,-1
"Bị mấy bác rồi, bảo sao f5 lại mãi ko thấy hiện post, mãi mới nhìn ra cái nút reply nó ở bên phải ) Sorry",-1
"Ăn cứt rồi,em sắp bị ban oan rồi các thím ơi Thím này rp em phải ko Đền cái cạc 100k viettel đi",-1
thím nào thông não em vụ tính hạng với lv với? Xia xỉa,-1
lót dép hóng,0
Như tít,0
Xenforo thì giờ dùng app gì nhỉ các thím,0
"chrome, safari , firefox, opera ... tuỳ",0
Đã trình đơn lên sở cẩm nên đóng thớt,-1
"Đưa password đây tôi làm cho, ez vkl luôn ý",-1
tôi cũng vừa mò mà chưa thấy fen ạ :3,0
"hỏi ké làm sao đổi sign, mà nãy giờ ko thấy",-1
Tới nhà mod cầm theo chai dầu ăn là được nha phen,0
Sang forums cũ mà đổi,-1
vào setting .... tính năng đang update,1
"vậy là giờ không đổi đc à bác, cái sign mình nhìn ngu quá",-1
"bên kia bị troll quá, làm sao đổi tên đây mấy bác",-1
Thật không đấy cả nhà cả cửa có con acc từ 2012 đấy nhé fen,0
ava ngon vlu vậy fen,1
"xạo đó iib trực tiếp mod trình bày nhé, nhớ mang dầu ăn",-1
Quan điểm của tôi đít chỉ để ỉa thôi fen,-1
Đang hóng đổi tên,0
Haizzz chờ quan trên giải quyết vậy,0
Hóng gì nữa fen chờ Mod thôi,1
hóng ...,0
"Như title, ae nào làm app giao diện mới đi, dùng trình duyệt khó chịu vãi",-1
Xài web mobile mượt mà mà fen,0
Tôi dùng web trên iOS mượt mà ngon nghẻ mà fen,1
Vẫn mượt mà fen,1
Xài web vẫn lướt đùng đùng,-1
"trừ game ra mấy thằng thích xài app toàn não mông, vừa tốn pin chạy ngầm còn bị theo dõi tracking tá lả `kia` khing",1
bên voz cũ lẫn mới dùng browser ngon lành mà?,1
"Tôi cũng mong có app để tối ưu các mục, các bài quan tâm",1
App with True Dark mode support will lower battery consumption in devices with AMOLED screen,1
"Some people prefer to navigation using swipe gesture, can the website support that?",1
"cả rổ trình duyệt có cái swipe, trình duyệt ko có darkmod chắc",0
"web lướt phà phà, giao diện cũng khá ổn áp mà bác",1
"Wow, are you sure?",1
Hóng app,1
"Như tít, tự dưng bị ban với lý do chửi nhau ở F33, mà em có chửi nhau gì đâu, mod ban nhầm em với ai rồi, xem lại giúp em",0
Nick virus001 ạ,1
Có 2 năm thôi mà mai phen làm gì căng,-1
bị ban nick virus001 mà thím cũng đang log in bằng virus001 là cớ làm sao..,-1
"Tự dưng qua bên này vẫn sống thím ạ, mà mình thử với cái nick bị ban từ lâu thì lại ko được",0
Lên cho mod thấy,0
Mod ơi đồng bộ luôn cái nick bên đây cho bớt trash,0
Đánh lộn ko mày,-1
Đùa thôi,0
haha,0
Nhầm hay không thì có thể là lý do để thím dùng mỗi next thôi nhé,0
mod ban nhầm rồi ban cả bên này nữa mod ơi,-1
Ban nốt bên này nữa mới đúng =]]],0
"Data qua trước rồi mới bị ban bên kia cũng đóng sớm thôi, quan trọng bên này còn sống",0
Vote ban vĩnh viễn,1
Cho m theo ké với nick mmm6699 bị ban,0
Có ân xá dc ko? Hồi đó còn trẻ dại,1
Góp vui,1
"mấy em nhỏ giờ bận áo dài toàn bó sát, độn ngực ngồn ngồn thế này sao mấy em trai học được",-1
"chả bù mình ngày xưa bọn con gái toàn mặc áo dài thùng thình, chưa kể mới xong lớp 10 bỏ mẹ áo dài cho nữ mặc sơ mi quần tây",-1
Chán,-1
Em cuối xinh vậy,1
đóng góp,0
Đầu tuần nhàm chán,-1
ui ảnh bị tuột chỉ rồi,0
Đặt gạch,-1
Về nhà xem,0
Up,1
Áo dài thì em Gala Trang là đỉnh nhất,1
"Lại sắp đến mùa tựu trường rồi, nhớ thời cấp 3 quá",1
nhập họcccc,1
xin info e ở trên,0
"không có hình ẻm mặc áo dài, nào chụp được lúc ẻm mặc áo dài thì up sau vậy",0
Của fen tất,0
ko hiểu lắm,-1
Hóng link mờ vào hộp kín,-1
Nhìn mặt như chuyển giới,-1
Đẩy lùi mọi deadline,-1
nếu e nhìn ko lầm thì e biết bé này,0
nguyên bộ này thì hơi độn,0
bên ngoài phẳng lỳ,1
Xin phép quay lại đúng với sự thanh lịch,0
Chút nữa lại đống vozer vào xin link,1
"Link là bẫy đấy, anh em coi chừng mất thớt...",-1
lâu không vào sao thớt thời trang công sở 4,0
0 lại bị oops! rồi nhỉ?,-1
Bay màu rồi,-1
xinh vãi ò,1
Giữ chỗ,0
em số 4 ra video hơi mờ,0
"hết giữ chỗ chưa chủ thớt,",-1
# dưới sẽ up ảnh mặc áo dài khoe mông cho xem,1
Giữ chỗ,0
Xin cái mặt tiền,-1
Mỗi người 1 gu thôi,0
Up lên thì sẽ có người thích người chê,1
hết,-1
Ảnh chính chủ,1
Có đốt thành tro cũng nhận ra nhé,0
Alo,0
"thật là mở mang tầm mắt vào topic cảm thấy như được trẻ ra trừ cái hình của thằng lợn yêu cầu thêm rule ko post hình trap anh em, vi phạm report bay nick",-1
"Tôi troll bác làm gì, vé 80k sucac tip 100k nha bác",0
Vãi nồi Minh Đại Nam thì thà đi mát xa người mù còn hơn,0
Ko thể chuẩn hơn,0
Edit lại bài,1
bác quân hàm gì r?,0
Là sao? Không hiểu?,-1
"Mưa Hồng - Lê Thanh Nghị, tiền vé + 500k típ",0
