,comment,label
147,"Sản phẩm tạm được, đóng gói không đẹp.",-1
148,Chưa thấy shop nào hãm l thế này.,-1
149,"sản phẩm rất ok, kể cả áo trong của nữ chất vải cũng mềm đẹp, mang lên sang chảnh, tui mình diện đi sinh nhật ai cũng khen đẹp đôi, nói chung là rất hài lòng.",1
150,Tầm giá là sử dụng tot.,1
151,Không dùng được.,-1
152,Chất lượng sản phẩm tạm được áo hơi ngắn so với hình.,-1
153,Sản phẩm tôt giao hang nhanh.,1
154,Hàng bình thường.,0
155,K con duong nao de che .,-1
156,Chất vải ok dày dặn.,1
157,Ưng!,1
158,Nay mua thêm 1 combo nữa.,0
159,áo dep lam shop ui.mình rat thix.,1
160,Thời gian giao hàng nhanh.,1
161,Rất ưng hiii.,1
162,K giao.,-1
163,Màu sắc k giống hình.,-1
164,Áo vải quá xấu.,-1
165,"Nói chung là mình mua mặc đi làm ok, đáng tiền.",1
166,"Shop nhiệt tình giúp đỡ, chất lượng quần thì khỏi chê, dài rộng gì cũng vừa ý mình hết.",1
167,"Yêu cầu đổi trả Shop yêu cầu gửi ảnh, gửi cho r im lặng.",-1
168,Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn.,1
169,Hàng kém chất lượng và không như quảng cáo.,-1
170,Shop phục vụ rất tốt.,1
171,Nói chung là không thất vọng đâu.,1
172,Chất lượng sản phẩm tuyệt vời.,1
173,Sản phẩm giống hình.,0
174,Giầy hơi cứng Chất lượng sản phẩm tạm được.,0
175,Sờ chất quần thì Ok luôn.,1
176,"Vay đẹp kỹ,tu van nhiet tinh.",1
177,Y hình.,1
178,Nt ko trả lời.,-1
179,Chất lượng vừa với giá tiền.,1
180,Sẽ ủng hộ shop dài.,1
181,Hàng chất lượng hơn giá sản phẩm nhak mọi người.,1
182,Áo rách ntn ko hiểu phải mặc ntn luôn.,-1
183,"nhưng cũng phù hợp với giá tiền, mặc vẫn ok!",1
184,Đồ mặc vừa.Thun hơi ôm dễ thấy bụng.😀.,1
185,Chọn màu này lấy màu kia.,-1
186,"hàng tương đối ổn,mình khá hài lòng.",1
187,Inbox ko thèm trả lời.,-1
188,Mình mua 2 chai về tàng trữ dần vì loại này vừa tẩy sạch vừa không dễ gây mụn như dầu tẩy trang.,1
189,Mất uy tín.,-1
190,Màu ngoài ko giống trong ảnh nhưng chất lượng khá ok với giá.,1
191,Rất ưng.,1
192,"shop giao hàng nhanh, gửi đúng màu, áo giống hình, mặc dù chất vải ko đẹp như mong muốn nhưng vẫn cho shop 5*.",1
193,"Shop phục vụ rất tốt, Thời gian giao hàng rất nhanh.",1
194,giày đẹp lắm . giao hàng lâu quá mun điên.,1
195,Shop giao siêu nhanh.,1
196,Giao hàng nhanh.,1
197,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng tạm được Đáng đồng tiền.,1
198,Chất lượng sản phẩm tuyệt vời.,1
199,Vừa ý.,1
200,"4 quần size L nhưng lại bị cái to cái bé, còn với giá tiền nvay thì cũng k mong chất đẹp hơn.",1
201,Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh.,1
202,Nhưng ko sao tks shop.,1
203,Chất lượng sp tốt nhưng giao hàng chậm onl cũng chẳng trả lời gì.,1
204,Vài thun rất mỏng ko fai len.,-1
205,Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt.👍👍👍.,1
206,"Đóng gói sản phẩm chắc chắn , shop giao hàng nhanh , nhận ngay 20/10 😂 về sp thì chất vải cũng đc, hợp mặc mùa thu.áo đẹp nhưng mà shop nên kiểm tra kĩ Sp đi ạ 😐 áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh xanh ở gần đuôi áo 😐 chưa kể lúc mở hàng ra thì bị ngay cái dằm suýt đâm vào tay😒.",1
207,Shop giao hàng cực nhanh lun trưa hom qua đặt mà trưa nay đã giao.,1
208,Thêm tin tưởng vào shoppe.,1
209,Áo vải đẹp mịn mát ❤.,1
210,Chất lượng sản phẩm tuyệt vời; Thời gian giao hàng rất nhanh.,1
211,Chủ shop nhiệt tình.,1
212,Rất đáng tiền.,1
213,Sản phẩm rất đẹp.,1
214,Hơi thô.,-1
215,Vãi rất mỏng.,-1
216,Hàng y như hình.,0
217,Đẹp lại rẻ.,1
218,Chất lượng sản phẩm tuyệt vời Ưng sẽ ủng hộ shop dài giao hàng nhanh.,1
219,"Quay lại sửa đánh giá sau khi tung tăng mặc váy diện muôn nơi ~ váy chất k có gì để chê, tuyệt vời, dày dặn, mặc đúng kiểu chùm chân mình thích, che được mông, cạp cao, mặc lên eo ót với cả chân dài cả mét :)) tuyệt vời cho 1 chiếc váy 159k.",1
220,"Ao mặc đẹp, chất đẹp . thời gian giao hàng rất nhanh.",1
221,"Giao hàng rất nhanh, aó đẹp, nói chung rất hài lòng.",1
222,"Đặt xanh đậm mà giao mảu xám , thất vọng quá,màu thấy củ xèm.",-1
223,Quả ko đẹp Chất lượng sản phẩm tạm được.,-1
224,"Áo chất đẹp, shop phục vụ tốt.",1
225,Đóng gói sản phẩm chắc chắn.,1
226,Tôi rất hài lòng về sản phẩm.,1
227,Chất lượng sản phẩm tuyệt vời rất ưng ý đồ đẹp.,1
228,Shop lam ăn không uy tín.. sảm phẩm thì dỗm.. chát thì chặn.,-1
229,Hàng rất ok 👍.,1
230,CL phù hợp giá tiền.,0
231,"Đúng hình ảnh, đẹp.",1
232,Mẫu cũng đa dạng.,1
233,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.,1
234,Hết hàng thì phải báo với khách chứ đằng này vẫn giao.,-1
235,"Ban đầu mình nghĩ là ren mỏng, nhưng nhận đc thì thấy ren đẹp hơn mình tưởng tượng.",1
236,"Đẹp, vừa ý...",1
237,Tuyệt ạ ... giày nhẹ êm.,1
238,Đúng mỗi 1 màu.,-1
239,Sản phẩm chất lượng .,1
240,"Cổ áo bị rách shop nên ktra kĩ trc khi giao, mình 40kg cao 1,55m mà mặc hơi chật.",-1
241,Đóng gói kỹ.,1
242,Gói hàng cẩn thận.,1
243,Cảm ơn shop nhìu.,1
244,"Đây là lần thứ 2 mua sp của shop , giày đẹp , cách phục vụ tốt 😊 sẽ ủng hộ shop nhiều nữa.",1
245,Son lên màu đẹp không bị khô cứng và lộ vân môi như màu 12 Rất đáng tiền.,1
246,Cảm ơn shop nhé.,1
247,Giống hình mà vải hơi cứng bạn ạk.,1
248,"Chất áo đẹp lắm, yêu shop.",1
249,Quần của shop quá đẹp luôn.,1
250,"Minh lay sz lớn nhất cho rộng roi , sz xxl mà nhìn thay bé hơn quần củ , chồng mình 72kg , sp chất thì nhìn tốt Đóng gói sản phẩm rất đẹp và chắc chắn.",1
251,Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Rất đáng tiền.,1
252,Chất thì ok nhưng cổ áo ko giống hình.cổ áo ko rộng mà ôm.,0
253,Đặt 2 quần dài mà đóng gói cho 1 quần ngố.,-1
254,Khuyến khích cho 5*.,1
255,"Nét chữ không được rõ, sp có mùi hơi kinh.",-1
256,Mặc phối với chân váy hay jean đều đẹp.,1
257,Nhưng GHTK thu tròn 110.000 đ.,-1
258,"Không giống hình cho lắm nhưng chất lượng cũng OK ,Mua 3 mà mỗi sp này là đc .",0
259,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.sácg hay.,1
260,"Đóng gói sp chắc chắn, giao hàng rất nhanh.",1
261,Chất lượng sản phẩm kém không giống như mô tả.,-1
262,Đáng tiền.,1
263,Váy mặc siêu xinh.,1
264,Thời gian giao hàng rất nhanh hàng y hình.,1
265,Vải thì rất đẹp.,1
266,Tiền nào cũa náy.,0
267,Gooddd.,1
268,Áo rộng hơn hình nhiều.,-1
269,Đóng gói sản phẩm rất đẹp và chắc chắn.,1
270,kem bên trong là màu trắng khác với kem ngày là màu vàng nhẹ .thời gian giao hàng chậm.,0
271,Áo from rộng như ảnh.,1
272,Chất liệu vải ổn.nhưng hơi rộng.,0
273,Ship ko đúng màu.,-1
274,vãi nĩ dày . nóng.,-1
275,"Shop phục vụ rất tốt, chất lượng sp ok.",1
276,"ngon đấy, nhưng đang ăn thì ăn phải cọng thun.",-1
277,Khá ok 😉 sẽ ủng hộ shop tiếp.,1
278,Đẹp lắm nha.,1
279,Áo vừa quá.,1
280,Thời gian giao hàng nhanh.,1
281,Áo đẹp lắm b ơi.,1
282,Màu thì ko thực sự giống trong hình.,-1
283,Chất lượng vải kém ko như hình .,-1
284,Đã quay Video và chụp ảnh nhưng shop không phản hồi.,-1
285,"Quần thoải mái, vừa vặn, đẹp Shop phục vụ rất tốt.",1
286,"Vận chuyển hàg k nhắt lót vào cặp, nên cắp bị méo mất dág.",-1
287,giao 2 sp.trat lat het 2 sp.minh la de chiu nhat hi ua hang.hoi that vong.,-1
288,"Ngày qua flash sale 39k/ chai, hết flash lên 55k xong 50k.",0
289,Đóng gói sản phẩm rất đẹp và chắc chắn.,1
290,Chất dc.,1
291,"Chất lượng sản phẩm tuyệt vời, hợp với giá tiền, sờ siêu thích, màu random nhưng đẹp lắm ạ!",1
292,"Mật ong loãng, ko đặc sánh lắm.",-1
293,Sẽ tiếp tục ủng hộ shop dài lâu!,1
294,Dép đi êm và mềm.,1
295,"Váy đẹp, vải thì mình thấy pha nilon nên hơi nóng.",0
296,Chất tạm dc tương sứng giá tiền.,1
297,Giao hàng và chăm sóc tận tình.,1
298,giá tốt. nhưng giao hàng chậm quá. không có số đt liên hệ khi cần gấp.,0
299,Shop cho doi tra ok.,0
300,Thật sự mình quá ưng cho 1 sp rẻ mà chất lượng .,1
301,Lọc ổn nhưng hi vọng shop đóng hàng kĩ hơn.,1
302,"Vải mỏng, thô hơn mình tưởng tượng.",0
303,Giao hàng nhanh.,1
304,Thời gian giao hàng nhanh Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt.,1
305,"áo màu sắc tươi sáng, vải chất ạ.",1
306,Shop rất thái độ với khách hàng.,-1
307,bị chật ngắn.,-1
308,Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời Rất đáng tiền.,1
309,Được tốt.,1
310,Chất lượng sản phẩm tuyệt vời.,1
311,Chất lượng sp qá tệ.,-1
312,Chủ shop nhiệt tình dễ thương.,1
313,"Giao hàng nhanh,.",1
314,Đàn nhìn cưng lắm 🎶🎵🎶.,1
315,Chất lượng sản phẩm tuyệt vời quần hơi mỏng ạ.,1
316,"Chất lượng sản phẩm rất kém Shop phục vụ rất kém Rất không đáng tiền,Shop phục vu qua kem , nhan tin ve so Tien se hoan lai thi khong thay tra lỏi gì het.",-1
317,Nhưng khá ok rồi.,1
318,Hihi ưng lắm ạ giày đẹp lắm nha m.n đi êm mà dễ phối đồ cực.,1
319,Chả ra gì cả .chất lượng kém.,-1
320,Gui sai một sp còn lại chất lượng tốt.,0
321,Chất rất oke.,1
322,"Rất ưng, mặc thoải mái mà chất vải rất thích.",1
323,Nhưng mà shop nói có tặng kèm dây đàn mà mình nhận được không có ạ.,-1
324,Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh rất ưng.,1
325,Rất ưng ý ;) sẽ tiếp tục mua để ủng hộ shop.,1
326,Chứ nhận hàng hết cả hồn ngâm xà bông chà mãi vẫn k sạch.,-1
327,"Ai thik mua,chọn size lớn hơn 2size ok hơn.",1
328,Đẹp hút hồn .,1
329,Giao hàng cũng nhanh ^^!,1
330,Giá còn rẻ.,1
331,Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tốt Đóng gói sản phẩm rất đẹp và chắc chắn.,1
332,"Sản phẩm bị ỉu,không giòn và cũng không có thời hạn sử dụng trên bao bì.",-1
333,Không tốt chất liệu sấu.,-1
334,"Chất lượng sản phẩm tuyệt vời, shop này uy tín quá.",1
335,Vải kate thun mỏng nhẹ mát.,1
336,Chất lượng sản phẩm tuyệt vời.Đóng gói sản phẩm rất đẹp và chắc chắn.shop phục vụ rất tốt.,1
337,Chất vải được.,1
338,"Sản phẩm đẹp ,ổn .chắc chắn mà lại rẻ hơn so vs mình mua ngoàí shop đắt mà mặc chưa đc 1 hôm đã đứt khuy.",1
339,"Áo sơ mi đẹp, giống hình.",0
340,"Đóng gói đẹp, giao đúng hàng, sp chất lượng, giá tốt... rất hài lòng shop ơi, sẽ tiếp tục ủng hộ nè.",1
341,Tuy nhiên mình mua 2 cái thì cái size L ở tay áo bị viết số màu xanh lên chỗ tay áo mình giặt ko ra.,-1
342,"Shop đóng gói cẩn thận, có kèm 1 tờ thiệp và 1 tờ rơi giới thiệu nữa. 😀.",1
343,Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vờiO.,1
344,Ko ưng y lam.,-1
345,Shoppe nên coi lại chọn người bán cho c9s kinh nghiệm chút.,-1
346,Chất lượng sản phẩm tuyệt vời.,1
347,Giờ chẳng biết làm gì với cái áo đó.,-1
348,Ncl rất ưng.,1
349,Thời gian giao hàng rất nhanh.,1
350,"Kem thẩm thấu rất nhanh, thoa xong sáng dậy có cảm giác căng da và mịn hơn , còn việc chống lão hóa thì phải xài hết mới biết kết quả.",1
351,"chất lượng ok,mỗi tội bụng rộng quá.lại phải sửa.",0
352,Shop phục vụ rất tốt.,1
353,Chất áo mỏngg.,0
354,Chất lượng sản phẩm tuyệt vời .Đóng gói sản phẩm rất đẹp và chắc chắn.,1
355,"Đóng gói sản phẩm tốt, cần thêm hộp đựng sẽ tốt hơn.",1
356,chất liệu vải thì cũng tạm được. chán cái đường chỉ 1 cái thì bục chỉ ở túi còn 1 cái máy cả vào chun.,-1
357,"Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn , áo khá to so với mình, nên bạn nào muốn mua size L mà tướng người nhỏ bé thì nên chọn soze M nha : , được tặng móc khóa hình Jinmin thích lắmm ><.",1
358,"Hàng chuẩn, uy tín.",1
359,Mua 2 chai mà mới xịt dc 1 lần thì hư mất cái nắp!!,0
360,Thời gian giao hàng rất nhanh.,1
361,Đặt hàng ko giao hàng là Sao vậy á.,-1
362,Hơi mỏng :)) k như mong đợi.,-1
363,Ủng hộ shop ngàn sao luôn nè 😋😋.,1
364,Hic.,-1
365,"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn, chủ s nhiệt tình, vui tính.",1
366,Giao hàng nhanh.,1
367,Chất lượng khá tốt.,1
368,Vải dày và co giãn tốt.,1
369,Nhưng nếu màu hồng tươi thì ok !,1
370,Vải rất đẹp.,1
371,Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt Thời gian giao hàng hơi chậm.,0
372,Áo này dày hơn và chất đẹp hơn cái màu trắng mk mua.,1
373,"Mình 50kg bầu 4 tháng mua size 2XL mà mặc vừa zin,dáng quần đẹp,mấy nữa bụng to tí phải mua size to hơn thôi :).",0
374,Chất lượng sản phẩm tuyệt vời.,1
375,Nỉ ấm và dày.,1
376,Có chút trục trặc nhưng sửa lại thì vẫn đẹp.,1
377,Chất lượng sản phẩm tuyệt vời.,1
378,"Chất áo đẹp, lên dáng ok, mỗi tội mặc hơi ngứa 1 tí Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh.",1
379,Giao lâu.,-1
380,Chất dai đanh và lì mặt.,0
381,Giao hàg thì thôi nhah khỏi nói.,1
382,Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Vải áo hơi mỏng.,1
383,Muốn làm đại lý sỉ.,1
384,San phạm nay vua Shopee qua do mua ve toi k xay dc ngay ca khoai tay nau chín ma xay con k Nhuyễn nua.,0
385,Size hơi to nhỉ 45kg -1m50 size S rồi mà hơi rộng.,1
386,"Chất lượng sản phẩm tạm được, trượt cơ học khá dít gây khó khăn cho sử dụng.",-1
387,Nhưng áo khiến mình hơi thất vọng.,-1
388,"Mặc khá xinh nhưng chất vải xấu, mỏng, cứng.",-1
389,Chất lượng sản phẩm phù hợp vs giá.,1
390,Mới dùng chất lượng OK.,1
391,Thời gian giao hàng rất nhanh .,1
392,Mua ba cái thấy ok.,1
393,Đẹp quá ủng hộ shop lâu dài.,1
394,Áo mặc ok lắm mọi người cứ tin tưởng mua hàng nhé.,1
395,Dù sao với 160k thì chất lượng như vậy là quá được.,1
396,đẹp dã man thế này.,1
397,Áo xinh lắm nhé mấy nàng ❤ với giá này thì áo vậy là đẹp rồi !,1
398,"Khô gà bị mặn, cả nhà mình đều kêu vậy..",-1
399,Giao hàng nhanh.,1
400,Áo rất ấm.,1
401,Hơi thất vọng.,-1
402,Chất lượng sp tuyệt vời.,1
403,"Huhuu, sr vì bh mới xác nhận đã nhận hàng :( quên béng đi mất.",-1
404,C Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh.,1
405,Hết cherry nên shop gọi bảo mình đổi mẫu chứ ko tự giao mẫu khác 👍🏻 Chọn chuyển qua dưa hấu.,0
406,Sản phẩm tốt phù hợp với giá tiền.,1
407,Len chất hơi cứng chút😀Nhưng vẫn mặc Ok.,0
408,"Kiểu dáng đúng mô tả, tuy nhiên quá mềm, không có độ cứng của khung túi, nên kém sang.",0
409,"áo cực đẹp, nhé vải ko dày lắm đâu nên mình nghĩ vẫn mặc trong mùa hè đc, cơ mà lần sau em mua shop đừng gọi mẹ em nhé :)))).",1
410,Vải mỏng quá mỏng.,-1
